City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Nikolskoye,RU,2019-11-16 01:31:09,59.7,30.79,39.2,80,90,8.95,overcast clouds,0.0,0.0
1,Yellowknife,CA,2019-11-16 01:31:09,62.45,-114.38,12.2,85,90,6.93,light snow,0.0,0.0
2,Beipiao,CN,2019-11-16 01:31:09,41.8,120.76,30.47,23,0,6.62,clear sky,0.0,0.0
3,Eyl,SO,2019-11-16 01:31:09,7.98,49.82,78.8,80,0,22.01,clear sky,0.0,0.0
4,Hobart,AU,2019-11-16 01:31:10,-42.88,147.33,60.01,35,40,24.16,scattered clouds,0.0,0.0
5,Padang,ID,2019-11-16 01:31:10,-0.92,100.36,75.94,84,84,1.88,light rain,0.88,0.0
6,Lethem,GY,2019-11-16 01:31:10,3.38,-59.8,81.05,70,87,11.7,light rain,1.19,0.0
7,Busselton,AU,2019-11-16 01:31:10,-33.64,115.35,87.01,28,0,2.44,clear sky,0.0,0.0
8,Vila Franca Do Campo,PT,2019-11-16 01:31:11,37.72,-25.43,60.8,59,75,6.93,broken clouds,0.0,0.0
9,Comodoro Rivadavia,AR,2019-11-16 01:31:11,-45.87,-67.48,62.6,25,100,26.4,overcast clouds,0.0,0.0
10,Punta Arenas,CL,2019-11-16 01:31:11,-53.16,-70.91,48.2,66,40,12.75,scattered clouds,0.0,0.0
11,Port Elizabeth,US,2019-11-16 01:31:12,39.31,-74.98,46.4,74,1,3.36,clear sky,0.0,0.0
12,Kandi,BJ,2019-11-16 01:31:12,11.13,2.93,75.34,31,100,1.77,overcast clouds,0.0,0.0
13,Provideniya,RU,2019-11-16 01:31:12,64.42,-173.23,21.36,93,100,18.34,light snow,0.0,0.25
14,Jamestown,AU,2019-11-16 01:31:12,-33.21,138.6,72.93,19,0,8.16,clear sky,0.0,0.0
15,Ribeira Grande,PT,2019-11-16 01:31:13,38.52,-28.7,58.03,66,51,1.92,broken clouds,0.0,0.0
16,Cape Town,ZA,2019-11-16 01:30:18,-33.93,18.42,69.01,72,20,21.92,few clouds,0.0,0.0
