City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
4,Hobart,AU,60.01,scattered clouds,-42.88,147.33,St Ives Apartments
8,Vila Franca Do Campo,PT,60.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
9,Comodoro Rivadavia,AR,62.6,overcast clouds,-45.87,-67.48,Austral Hotel
14,Jamestown,AU,72.93,clear sky,-33.21,138.6,Jamestown Motel Terraces
15,Ribeira Grande,PT,58.03,broken clouds,38.52,-28.7,Hotel do Canal | Horta - Faial
16,Cape Town,ZA,69.01,few clouds,-33.93,18.42,"Radisson Blu Hotel Waterfront, Cape Town"
19,Alto Araguaia,BR,69.33,overcast clouds,-17.32,-53.22,Araguaia Palace Hotel
22,Reconquista,AR,64.67,clear sky,-29.14,-59.64,Grand Hotel
28,Moroni,GR,62.01,few clouds,35.09,24.92,Nana Apartments
29,Bilma,NE,72.16,clear sky,18.69,12.92,Expeditions Ténére voyages
30,East London,ZA,66.25,clear sky,-33.02,27.91,Tu Casa
32,Aswan,EG,68.0,scattered clouds,24.09,32.9,Nuba Nile
35,Sambava,MG,73.67,few clouds,-14.27,50.17,Melrose
37,Pandamatenga,BW,69.51,broken clouds,-18.54,25.64,Wildtrack Safaris Eco Lodge
38,Parana,BR,72.55,overcast clouds,-7.52,-72.89,
41,Rikitea,PF,73.29,overcast clouds,-23.12,-134.97,Pension Maro'i
42,Chicama,PE,64.4,mist,-7.84,-79.15,Tiki Surf House
44,Vaini,IN,68.0,clear sky,15.34,74.49,Dandeli Lake County
48,Mercedes,UY,72.0,clear sky,-33.25,-58.03,Gran Hotel Brisas del Hum
55,Tateyama,JP,53.01,light intensity shower rain,36.66,137.31,旅館 だんごや
56,Carnarvon,ZA,58.71,clear sky,-30.97,22.13,Meerkat Manor
63,Sur,OM,70.14,clear sky,22.57,59.53,Sur Plaza Hotel
64,Katsuura,JP,64.99,few clouds,33.93,134.5,果樹園オーナーの宿 碧
